GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Meals,com.example.demo.controllers,WeatherController,0,69,0,2,0,21,0,6,0,5
Meals,com.example.demo.controllers,ReservationController,0,189,0,2,0,47,0,9,0,8
Meals,com.example.demo.controllers,MealController,0,75,0,0,0,20,0,6,0,6
Meals,com.example.demo.controllers,RestaurantController,0,117,0,0,0,30,0,8,0,8
Meals,com.example.demo.config,CorsConfig,41,0,0,0,12,0,2,0,2,0
Meals,com.example.demo.cache,Cache,1,171,2,10,0,45,2,17,0,13
Meals,com.example.demo.cache,Cache.CacheItem,0,27,0,2,0,6,0,4,0,3
Meals,com.example.demo.services,RestaurantService,0,72,0,0,0,18,0,7,0,7
Meals,com.example.demo.services,ReservationService,30,333,9,21,6,79,11,16,2,10
Meals,com.example.demo.services,MealService,0,107,0,4,0,27,0,10,0,8
Meals,com.example.demo.services,WeatherService,136,174,6,16,17,44,6,11,1,5
Meals,com.example.demo.models,ReservationStatus,0,21,0,0,0,4,0,1,0,1
Meals,com.example.demo.models,Reservation,0,31,0,2,0,7,0,2,0,1
Meals,com.example.demo,Application,5,3,0,0,2,1,1,1,1,1
